t_rel,phase,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,expected_ang_act_7,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14,cmd_7,cmd_6,cmd_8,cmd_6,cmd_12,cmd_13,cmd_11
0.119551658630371,init_open,79.89,232.29,15.21,181.67,99.76,nan,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.252372741699219,init_open,81.3,232.29,15.21,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.387453079223633,init_open,84.99,232.29,15.29,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.522413015365601,init_open,85.34,232.29,15.29,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.657362699508667,init_open,85.34,232.29,15.21,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.792386531829834,init_open,85.61,232.29,15.29,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
0.927662372589111,init_open,85.69,232.29,15.38,181.67,99.76,172.18,38.58,236.13,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.06240153312683,init_open,85.87,232.29,15.29,181.67,99.76,172.09,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.1974573135376,init_open,85.87,232.29,15.21,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.33241820335388,init_open,85.96,232.29,15.29,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.46740794181824,init_open,85.96,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.60240864753723,init_open,85.96,232.29,15.21,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
1.73740768432617,init_open,86.04,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.26,100.94,300,79.93,210,170.07,1641,2983,1249,2983,3042,2288,1060
1.87244367599487,init_open,85.87,232.29,15.29,181.67,99.76,172.18,38.58,236.26,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.00743269920349,init_open,85.96,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.14241933822632,init_open,81.83,232.29,15.29,181.67,99.76,172.09,38.58,236.13,236.26,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.27759742736816,init_open,70.4,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.41231942176819,init_open,71.54,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.54748487472534,init_open,90.97,232.29,15.21,181.67,99.76,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.68242263793945,init_open,91.85,232.29,15.38,181.67,99.67,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.81760430335999,init_open,95.54,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1641,2983,1249,2983,3042,2288,1060
2.9524097442627,random_Index_Abduction_1_S0,96.94,232.29,15.38,181.67,99.76,172.18,38.58,236.13,236.13,100.94,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.08743524551392,random_Index_Abduction_1_S0,91.23,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,98.26,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.22236442565918,random_Index_Abduction_1_S0,86.31,232.29,15.47,181.67,99.76,172.18,38.58,236.13,236.13,95.45,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.35739755630493,random_Index_Abduction_1_S0,82,232.29,15.38,181.67,99.76,172.18,38.58,236.13,236.13,93.42,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.49248576164246,random_Index_Abduction_1_S0,84.9,232.29,15.64,181.67,99.76,172.18,38.58,236.13,236.13,90.65,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.62751007080078,random_Index_Abduction_1_S0,90.09,232.29,15.47,181.67,99.76,172.18,38.58,236.13,236.13,88.38,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.76252603530884,random_Index_Abduction_1_S0,89.47,232.29,15.21,181.67,99.76,172.18,38.58,236.13,236.13,86.75,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
3.89750456809998,random_Index_Abduction_1_S0,90,232.29,15.21,181.67,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.03246164321899,random_Index_Abduction_1_S0,90,232.29,15.21,181.67,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.1677098274231,random_Index_Abduction_1_S0,90,232.29,15.21,181.67,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.30255055427551,random_Index_Abduction_1_S0,90,232.29,15.12,181.67,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.4374942779541,random_Index_Abduction_1_S0,90,232.29,15.12,181.67,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.57250690460205,random_Index_Abduction_1_S0,90,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.70751619338989,random_Index_Abduction_1_S0,90,232.29,15.12,181.67,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.84249114990234,random_Index_Abduction_1_S0,90.09,232.29,15.12,181.67,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
4.97748923301697,random_Index_Abduction_1_S0,90,232.29,15.21,181.67,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.11248207092285,random_Index_Abduction_2_S0,90.09,232.29,15.29,181.67,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.24758839607239,random_Index_Abduction_2_S0,90,232.29,15.12,181.58,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.38246750831604,random_Index_Abduction_2_S0,90,232.29,14.59,169.37,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.51772928237915,random_Index_Abduction_2_S0,90.09,232.29,14.41,163.65,99.76,172.18,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.65247583389282,random_Index_Abduction_2_S0,90.09,232.29,14.5,166.03,99.76,172.09,38.58,236.13,236.13,86.71,300,79.93,210,170,1288,2983,1249,2983,3042,2288,1060
5.7874927520752,random_Index_Abduction_2_S0,90.09,232.21,14.68,166.2,99.76,172.18,38.58,236.13,236.13,88.54,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
5.92256784439087,random_Index_Abduction_2_S0,88.95,232.12,14.68,166.29,99.76,172.09,38.58,236.13,236.13,91.51,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.05751609802246,random_Index_Abduction_2_S0,91.05,232.21,14.68,166.2,99.67,172.18,38.58,236.13,236.13,93.62,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.19279527664185,random_Index_Abduction_2_S0,88.42,232.21,14.5,166.2,99.67,172.09,38.58,236.13,236.13,95.98,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.32780623435974,random_Index_Abduction_2_S0,87.98,232.21,14.59,166.29,99.76,172.09,38.58,236.13,236.13,98.79,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.46260452270508,random_Index_Abduction_2_S0,82.97,232.21,14.59,166.2,99.76,172.09,38.58,236.13,236.13,100.66,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.59751605987549,random_Index_Abduction_2_S0,82.97,232.21,14.68,166.29,99.67,172.09,38.58,236.13,236.13,100.17,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.7325599193573,random_Index_Abduction_2_S0,82.88,232.21,14.68,166.2,99.76,172.18,38.58,236.13,236.13,100.17,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
6.86761903762817,random_Index_Abduction_2_S0,82.88,232.21,14.77,166.2,99.76,172.18,38.58,236.13,236.13,100.17,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.00266933441162,random_Index_Abduction_2_S0,82.88,232.21,14.59,166.29,99.76,172.18,38.58,236.13,236.13,100.17,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.13756489753723,random_Index_Abduction_2_S0,82.79,232.21,14.68,166.29,99.67,172.18,38.58,236.13,236.13,100.17,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.2726092338562,random_Index_Abduction_2_S0,82.79,232.21,14.68,166.2,99.67,172.18,38.58,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.40757203102112,random_Index_Abduction_3_S0,82.79,232.21,14.68,166.2,99.76,172.09,38.58,236.13,236.13,100.21,300,79.93,210,170.07,1626,2983,1249,2983,3042,2288,1060
7.54255390167236,random_Index_Abduction_3_S0,82.79,232.21,14.68,166.29,99.67,172.18,38.58,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.67758941650391,random_Index_Abduction_3_S0,82.88,232.21,14.77,166.2,99.67,172.09,38.67,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.81261444091797,random_Index_Abduction_3_S0,82.79,232.29,14.59,166.99,99.67,172.09,38.5,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
7.94756531715393,random_Index_Abduction_3_S0,82.79,232.29,14.77,167.96,99.67,172.09,38.5,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
8.08259916305542,random_Index_Abduction_3_S0,82.71,232.29,14.68,169.37,99.67,172.18,38.5,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
8.21763420104981,random_Index_Abduction_3_S0,82.71,232.29,14.68,170.68,99.67,172.18,38.5,236.13,236.13,100.21,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
8.35262322425842,random_Index_Abduction_3_S0,82.79,232.29,14.59,170.77,99.67,172.18,38.58,236.13,236.13,100.37,300,79.93,210,170,1626,2983,1249,2983,3042,2288,1060
8.48748254776001,random_Index_Abduction_3_S0,82.71,232.29,14.77,170.68,99.67,172.18,38.5,236.13,236.13,98.91,300,79.93,210,170,1397,2983,1249,2983,3042,2288,1060
8.62257313728333,random_Index_Abduction_3_S0,82.71,232.29,14.85,170.77,99.67,172.09,38.5,236.13,236.13,97.4,300,79.93,210,170,1397,2983,1249,2983,3042,2288,1060
8.75761556625366,random_Index_Abduction_3_S0,83.06,232.29,14.68,170.77,99.67,172.09,38.5,236.13,236.13,95.82,300,79.93,210,170,1397,2983,1249,2983,3042,2288,1060
8.89259600639343,random_Index_Abduction_3_S0,82.18,232.29,14.77,170.68,99.67,172.09,38.5,236.13,236.13,94.47,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.02762985229492,random_Index_Abduction_3_S0,81.56,232.29,14.77,170.68,99.67,172.18,38.58,236.13,236.13,92.48,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.16257262229919,random_Index_Abduction_3_S0,86.22,232.29,14.77,170.77,99.67,172.09,38.5,236.13,236.13,91.22,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.29757738113403,random_Index_Abduction_3_S0,89.38,232.29,14.77,170.77,99.67,172.18,38.58,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.43255877494812,random_Index_Abduction_3_S0,89.47,232.29,14.77,170.77,99.67,172.18,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.56757712364197,random_Index_Abduction_4_S0,89.47,232.29,14.68,170.77,99.67,172.09,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.70262455940247,random_Index_Abduction_4_S0,89.47,232.29,14.77,170.77,99.67,172.09,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.8375825881958,random_Index_Abduction_4_S0,89.47,232.29,14.85,175.08,99.76,172.18,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
9.97256875038147,random_Index_Abduction_4_S0,89.56,232.38,14.68,190.11,99.76,172.09,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.1102068424225,random_Index_Abduction_4_S0,89.56,232.38,14.68,186.86,99.67,172.18,38.41,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.2427279949188,random_Index_Abduction_4_S0,89.47,232.38,14.68,183.52,99.67,172.09,38.5,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.377849817276,random_Index_Abduction_4_S0,89.56,232.29,14.68,183.34,99.67,172.09,38.41,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.5128483772278,random_Index_Abduction_4_S0,89.47,232.29,14.68,183.34,99.76,172.09,38.32,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.6476602554321,random_Index_Abduction_4_S0,89.56,232.29,14.68,183.34,99.67,172.09,38.32,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.7826352119446,random_Index_Abduction_4_S0,89.47,232.29,14.68,183.34,99.76,172.09,38.32,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
10.917622089386,random_Index_Abduction_4_S0,89.56,232.29,14.68,183.34,99.67,172.09,38.32,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
11.0526547431946,random_Index_Abduction_4_S0,89.56,232.29,14.68,183.43,99.76,172.09,38.32,236.13,236.13,91.02,300,80,210,170,1397,2983,1249,2983,3042,2288,1060
11.1881473064423,random_Index_Abduction_4_S0,89.65,232.29,14.68,183.34,99.76,172.09,38.32,236.13,236.13,91.3,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.3226711750031,random_Index_Abduction_4_S0,89.47,232.38,14.68,183.43,99.76,172.09,38.32,236.13,236.13,92.77,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.4574475288391,random_Index_Abduction_4_S0,86.66,232.29,14.68,183.52,99.67,172.09,38.32,236.13,236.13,94.27,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.5928618907928,random_Index_Abduction_4_S0,87.36,232.29,14.68,183.43,99.76,172.09,38.32,236.13,236.13,95.94,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.7280225753784,random_Index_Abduction_4_S0,87.71,232.29,14.59,183.43,99.67,172.09,38.32,236.13,236.13,97.24,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.8626682758331,random_Index_Abduction_5_S0,83.41,232.38,14.68,183.43,99.67,172.09,38.32,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
11.9976427555084,random_Index_Abduction_5_S0,83.32,232.29,14.68,183.43,99.76,172.09,38.23,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.1326763629913,random_Index_Abduction_5_S0,83.32,232.29,14.68,183.43,99.67,172.09,38.32,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.2674725055695,random_Index_Abduction_5_S0,83.23,232.29,14.68,170.07,99.67,172.09,38.23,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.4026300907135,random_Index_Abduction_5_S0,83.23,232.29,14.77,164.09,99.67,172.09,38.32,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.5377042293549,random_Index_Abduction_5_S0,83.23,232.29,14.68,168.05,99.67,172.09,38.14,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.6728730201721,random_Index_Abduction_5_S0,83.23,232.29,14.77,168.13,99.67,172.09,38.14,236.13,236.13,98.74,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.8076508045197,random_Index_Abduction_5_S0,83.23,232.29,14.68,168.13,99.67,172.09,38.23,236.13,236.13,98.79,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
12.9429190158844,random_Index_Abduction_5_S0,83.23,232.29,14.77,168.22,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.0774929523468,random_Index_Abduction_5_S0,83.14,232.29,14.68,168.13,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.2127506732941,random_Index_Abduction_5_S0,83.14,232.29,14.68,168.13,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.347795009613,random_Index_Abduction_5_S0,83.06,232.29,14.68,168.13,99.67,172.09,38.23,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.482727766037,random_Index_Abduction_5_S0,83.23,232.29,14.68,168.22,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.6179401874542,random_Index_Abduction_5_S0,83.14,232.29,14.68,168.13,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.7527265548706,random_Index_Abduction_5_S0,83.14,232.21,14.68,168.22,99.67,172.09,38.14,236.13,236.13,98.83,300,80,210,170,1591,2983,1249,2983,3042,2288,1060
13.8876473903656,random_Index_Abduction_5_S0,83.23,232.29,14.68,168.22,99.67,172.09,38.23,236.13,236.13,98.83,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.0227122306824,random_Index_Abduction_6_S0,83.23,232.29,14.68,168.13,99.67,172.09,38.14,236.13,236.13,97.93,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.1577162742615,random_Index_Abduction_6_S0,83.14,232.21,14.68,168.13,99.67,172.09,38.14,236.13,236.13,97.36,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.2926993370056,random_Index_Abduction_6_S0,83.23,232.29,14.94,168.13,99.67,172.09,38.14,236.13,236.13,96.63,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.4281003475189,random_Index_Abduction_6_S0,83.58,232.29,14.5,187.29,99.76,172.09,38.14,236.13,236.13,96.1,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.5629544258118,random_Index_Abduction_6_S0,83.32,232.29,14.68,189.49,99.67,172.09,38.14,236.13,236.13,95.65,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.6977596282959,random_Index_Abduction_6_S0,82.71,232.29,14.5,178.33,99.67,172.09,38.14,236.13,236.13,95.37,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.8328719139099,random_Index_Abduction_6_S0,82.62,232.29,14.5,178.24,99.76,172.09,38.14,236.13,236.13,95.37,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
14.9680728912354,random_Index_Abduction_6_S0,82.62,232.29,14.59,178.24,99.76,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.1026835441589,random_Index_Abduction_6_S0,82.62,232.38,14.59,178.33,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.2380211353302,random_Index_Abduction_6_S0,82.71,232.29,14.5,178.33,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.3728089332581,random_Index_Abduction_6_S0,82.71,232.38,14.59,178.24,99.76,172,38.14,236.13,236.13,95.37,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.507711648941,random_Index_Abduction_6_S0,82.62,232.29,14.59,178.24,99.76,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.6430361270905,random_Index_Abduction_6_S0,82.71,232.29,14.59,178.42,99.76,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.7777109146118,random_Index_Abduction_6_S0,82.62,232.29,14.59,178.33,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
15.9130122661591,random_Index_Abduction_6_S0,82.62,232.29,14.59,178.33,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
16.0477125644684,random_Index_Abduction_6_S0,82.71,232.29,14.59,178.42,99.67,172,38.23,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
16.1828927993774,random_Index_Abduction_6_S0,82.62,232.38,14.59,178.33,99.76,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
16.3178853988647,random_Index_Abduction_7_S0,82.71,232.38,14.41,178.42,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
16.4527537822723,random_Index_Abduction_7_S0,82.62,232.38,14.5,178.33,99.67,172.09,38.14,236.13,236.13,95.33,300,80,210,170,1500,2983,1249,2983,3042,2288,1060
16.5877504348755,random_Index_Abduction_7_S0,82.71,232.29,14.5,178.42,99.67,172,38.23,236.13,236.13,95.33,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
16.7227387428284,random_Index_Abduction_7_S0,82.62,232.29,14.33,178.24,99.67,172.09,38.14,236.13,236.13,93.86,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
16.8579099178314,random_Index_Abduction_7_S0,82,232.29,14.15,176.04,99.67,172.09,38.14,236.13,236.13,93.01,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
16.9927411079407,random_Index_Abduction_7_S0,83.58,232.29,14.94,157.15,99.67,172.09,38.23,236.13,236.13,91.99,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.1277258396149,random_Index_Abduction_7_S0,87.98,232.29,14.68,153.81,99.67,172.09,38.14,236.13,236.13,90.37,300,80,210,170.07,1334,2983,1249,2983,3042,2288,1060
17.2627079486847,random_Index_Abduction_7_S0,90.79,232.38,14.77,153.81,99.67,172.09,38.14,236.13,236.13,89.55,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.3977584838867,random_Index_Abduction_7_S0,90.79,232.29,14.68,153.81,99.67,172.09,38.14,236.13,236.13,88.94,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.5330140590668,random_Index_Abduction_7_S0,90.7,232.29,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.6679937839508,random_Index_Abduction_7_S0,90.7,232.38,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.802817106247,random_Index_Abduction_7_S0,90.7,232.29,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
17.9378871917725,random_Index_Abduction_7_S0,90.7,232.29,14.68,153.81,99.67,172.09,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.0727846622467,random_Index_Abduction_7_S0,90.62,232.29,14.77,153.81,99.67,172,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.2077829837799,random_Index_Abduction_7_S0,90.7,232.29,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.9,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.3430123329163,random_Index_Abduction_7_S0,90.35,232.29,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.4777839183807,random_Index_Abduction_8_S0,90,232.29,14.77,153.81,99.67,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.6127753257751,random_Index_Abduction_8_S0,90,232.29,14.68,155.3,99.67,172.09,38.14,236.13,236.13,88.09,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.7478053569794,random_Index_Abduction_8_S0,90,232.29,14.68,189.05,99.76,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
18.8827900886536,random_Index_Abduction_8_S0,90,232.29,14.68,183.87,99.67,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
19.0178029537201,random_Index_Abduction_8_S0,90,232.29,14.77,183.78,99.67,172,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
19.1527514457703,random_Index_Abduction_8_S0,90,232.29,14.77,183.78,99.76,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
19.2878322601318,random_Index_Abduction_8_S0,90,232.29,14.41,183.78,99.67,172.09,38.14,236.13,236.13,88.13,300,80,210,170,1334,2983,1249,2983,3042,2288,1060
19.4228272438049,random_Index_Abduction_8_S0,90.09,232.29,14.5,183.78,99.76,172.09,38.14,236.13,236.13,89.64,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
19.5578031539917,random_Index_Abduction_8_S0,88.95,232.29,14.41,183.78,99.76,172.09,38.23,236.13,236.13,92.24,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
19.6928179264069,random_Index_Abduction_8_S0,89.74,232.38,14.41,183.69,99.76,172.09,38.14,236.13,236.13,94.11,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
19.8278357982636,random_Index_Abduction_8_S0,88.24,232.29,14.41,183.78,99.67,172.09,38.14,236.13,236.13,96.51,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
19.9629168510437,random_Index_Abduction_8_S0,87.63,232.29,14.41,183.69,99.76,172.09,38.23,236.13,236.13,98.3,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
20.0978174209595,random_Index_Abduction_8_S0,84.81,232.29,14.5,183.69,99.76,172.09,38.23,236.13,236.13,99.64,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
20.2328810691834,random_Index_Abduction_8_S0,84.73,232.29,14.41,183.69,99.76,172,38.23,236.13,236.13,99.52,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
20.3678574562073,random_Index_Abduction_8_S0,84.55,232.29,14.33,183.69,99.76,172.09,38.14,236.13,236.13,99.48,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
20.502831697464,random_Index_Abduction_8_S0,84.55,232.29,14.41,183.69,99.76,172,38.14,236.13,236.13,99.52,300,80,210,170,1610,2983,1249,2983,3042,2288,1060
